                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.5783,                0.89524,                 1.2989,                0.93602,                0.86604,                0.90366,                0.46691,                 1.7463,                0.80677,                  1.494,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.6218,                 0.8481,                 1.3155,                 0.8916,                0.88413,                0.89576,                0.47289,                 1.7077,                0.80924,                  1.463,              0.0002476,              0.0002476,              0.0002476
                     78,                  1.627,                0.91293,                  1.366,                0.92752,                0.89087,                 0.9164,                0.50267,                 1.6794,                0.81592,                 1.4382,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.5547,                0.84896,                 1.2766,                  0.947,                0.88952,                0.93092,                0.49615,                 1.6898,                0.79665,                 1.4428,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.6148,                0.86909,                 1.2926,                0.88325,                0.93151,                0.93072,                0.50154,                 1.7044,                  0.793,                 1.4526,              0.0002179,              0.0002179,              0.0002179
                     81,                  1.571,                0.83455,                 1.3004,                0.89939,                0.92609,                0.93524,                0.47814,                 1.7504,                0.78867,                  1.481,               0.000208,               0.000208,               0.000208
                     82,                 1.5709,                0.84257,                 1.2717,                0.91878,                0.86631,                0.90241,                0.44841,                 1.8146,                0.82502,                 1.5218,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.5806,                0.83007,                 1.2565,                0.93481,                0.89067,                0.93722,                0.46638,                 1.7558,                0.79366,                 1.4908,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.6116,                0.85266,                 1.2936,                0.89559,                0.91047,                0.92543,                0.48533,                 1.7042,                0.78186,                 1.4485,              0.0001783,              0.0001783,              0.0001783
                     85,                  1.641,                0.83759,                 1.2894,                0.88893,                0.93014,                0.93638,                0.48962,                 1.7019,                0.77683,                 1.4444,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.6181,                0.87503,                 1.3221,                0.87824,                0.95145,                0.93399,                0.50125,                 1.6991,                0.76341,                  1.445,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.5938,                0.87511,                 1.3148,                0.93404,                0.87034,                0.93164,                0.48625,                  1.695,                0.76649,                 1.4412,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.6158,                0.88182,                 1.2904,                0.89077,                0.93723,                0.93025,                0.48722,                 1.6949,                0.76926,                 1.4365,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.6693,                0.87518,                 1.3433,                0.92216,                0.89375,                0.93285,                0.49169,                 1.6868,                0.75967,                 1.4326,              0.0001288,              0.0001288,              0.0001288
                     90,                  1.612,                0.84679,                 1.2865,                0.92224,                0.89687,                 0.9352,                0.49679,                 1.6836,                0.75344,                 1.4343,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.7297,                 1.0979,                 1.4169,                  0.951,                 0.9067,                0.94011,                0.49876,                 1.6902,                0.76964,                 1.4375,               0.000109,               0.000109,               0.000109
                     92,                   1.74,                 1.1251,                 1.4002,                0.92734,                 0.8948,                0.92101,                0.47662,                 1.7616,                 0.8115,                 1.4699,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.7137,                 1.0046,                 1.3757,                0.92223,                0.89087,                0.90182,                0.47498,                 1.7916,                0.82085,                 1.4852,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.6521,                 1.0279,                 1.4461,                0.92858,                0.91499,                0.92645,                0.48596,                 1.7454,                 0.7919,                 1.4617,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.5846,                0.91948,                 1.3743,                0.93589,                0.91292,                0.92891,                0.49404,                 1.7068,                0.77783,                 1.4443,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.5895,                0.88626,                 1.3549,                0.89211,                0.89624,                0.91487,                0.48459,                 1.7191,                0.78641,                 1.4581,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.7009,                0.98098,                 1.4077,                0.90271,                0.88923,                0.91835,                0.45938,                 1.7499,                0.80095,                 1.4783,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.5691,                0.88227,                 1.3927,                0.89219,                0.87747,                0.89601,                 0.4572,                 1.7672,                0.80883,                   1.49,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.5648,                0.86336,                 1.3631,                0.89411,                  0.877,                0.89523,                0.46971,                 1.7569,                0.80358,                 1.4806,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                 1.5396,                0.86332,                 1.3576,                 0.8954,                0.87971,                0.90335,                 0.4742,                 1.7324,                0.78878,                 1.4645,               1.99e-05,               1.99e-05,               1.99e-05
